name,stack,dirs,date,py_count
A - OLD / Chrome Anti-Detect,"['selenium', 'time', 'undetected_chromedriver']",['A - OLD\\Chrome Anti-Detect'],2024-07-17 01:53:59,2
A - OLD / Discord / Discord_bot,"['asyncio', 'config', 'datetime', 'discord', 'example', 'json', 'os', 'requests', 'sqlite3', 'time']",['A - OLD\\Discord\\Discord_bot'],2024-01-15 04:51:04,3
A - OLD / Network / PortScanner,"['Queue', 'argparse', 'colorama', 'ctypes', 'datetime', 'os', 'queue', 'shutil', 'signal', 'socket', 'struct', 'sys', 'threading', 'time']",['A - OLD\\Network\\PortScanner'],2024-01-15 04:51:04,3
A - OLD / Other / GameBot,"['cv2', 'fuzzywuzzy', 'mss', 'numpy', 'pyautogui', 'pytesseract', 'rods', 'time', 'utils']",['A - OLD\\Other\\GameBot'],2024-01-15 04:51:04,1
A - OLD / Other / Turtle,"['PIL', 'colorsys', 'math', 'matplotlib', 'random', 'turtle']",['A - OLD\\Other\\Turtle'],2024-01-15 04:51:09,5
A - OLD / Other / YouTube-Viewer,"['concurrent', 'fake_headers', 'faker', 'glob', 'io', 'json', 'logging', 'os', 'psutil', 're', 'requests', 'shutil', 'sys', 'tabulate', 'textwrap', 'time', 'undetected_chromedriver', 'wmi', 'youtubeviewer']",['A - OLD\\Other\\YouTube-Viewer'],2024-02-23 15:09:04,2
A - OLD / Other / YouTube-Viewer / youtubeviewer,"['bypass', 'calendar', 'colors', 'contextlib', 'datetime', 'features', 'flask', 'glob', 'hashlib', 'json', 'os', 'platform', 'random', 'requests', 'selenium', 'shutil', 'sqlite3', 'subprocess', 'sys', 'time', 'undetected_chromedriver', 'warnings']",['A - OLD\\Other\\YouTube-Viewer\\youtubeviewer'],2024-02-23 15:09:04,11
A - OLD / Other / Вышка-экономика / Ex_IFX / fas,[],['A - OLD\\Other\\Вышка-экономика\\Ex_IFX\\fas'],2024-01-15 04:50:41,1
A - OLD / Other / Вышка-экономика / эконометрика - вывод графиков,"['datetime', 'pandas_datareader', 'time']",['A - OLD\\Other\\Вышка-экономика\\эконометрика - вывод графиков'],2024-01-15 04:51:09,2
A - OLD / Other / Вышка-экономика / эконометрика - вывод графиков / Курсач - Графики - Finance,"['datetime', 'os', 'pandas_datareader', 'seaborn', 'time']",['A - OLD\\Other\\Вышка-экономика\\эконометрика - вывод графиков\\Курсач - Графики - Finance'],2024-01-15 04:51:09,2
A - OLD / Parsing / Requests / CombotParser,"['bs4', 'json', 'requests', 'sqlite3', 'time', 'urllib', 'urllib3']",['A - OLD\\Parsing\\Requests\\CombotParser'],2024-01-15 04:51:09,1
